시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
경상남도 양산시 물금읍 범어리,양산신도시반도유보라2차,84.9727,"38,800",25,2013,범어로 57
전북특별자치도 익산시 황등면 황등리,해담,39.96,"3,900",9,1999,황등3길 15
전북특별자치도 전주시 완산구 삼천동1가,아너센트럴신원리브웰,84.5763,"41,800",6,2023,백제대로 85
강원특별자치도 춘천시 석사동,휴먼타운,84.89,"24,900",8,2002,지석로 29
전북특별자치도 익산시 모현동1가,익산e편한세상,84.885,"24,000",26,2012,선화로10길 17
제주특별자치도 제주시 노형동,노형벨라시티,53.0586,"36,000",15,2023,1100로 3332
강원특별자치도 강릉시 초당동,이화해변(A동),29.82,"5,000",3,1988,초당원길 21
전북특별자치도 전주시 완산구 삼천동1가,세창짜임,84.9836,"33,500",10,2006,용리로 179
제주특별자치도 서귀포시 동홍동,서강파인힐(101동),83.49,"23,800",3,2012,동홍서로 104-10
전북특별자치도 임실군 임실읍 이도리,전북임실코아루더베스트,65.5263,"16,000",4,2018,호반로 12
강원특별자치도 동해시 쇄운동,아름다운아침,39.08,"5,900",15,2012,효자로 572-1
강원특별자치도 속초시 조양동,조양2주공,49.62,"11,100",8,1998,온정로 24
강원특별자치도 원주시 단구동,노빌리티타워골드,146.98,"30,000",21,2009,서원대로 434
전북특별자치도 군산시 대명동,아이플러스시티103동,49.85,"8,000",7,2014,동팔마길 36
전북특별자치도 김제시 검산동,검산주공2단지아파트,59.56,"14,400",6,2004,도작4길 55
전북특별자치도 전주시 완산구 서신동,롯데,84.72,"19,000",4,1993,전룡로 128-5
강원특별자치도 원주시 무실동,더샵원주센트럴파크1단지,84.9836,"46,900",11,2021,한지공원길 120
전북특별자치도 전주시 덕진구 송천동1가,광진한솔,59.97,"10,000",13,1994,솔내8길 25
전북특별자치도 전주시 덕진구 송천동1가,송천동우림,59.835,"13,500",12,1996,솔내9길 7
전북특별자치도 완주군 이서면 갈산리,혁신도시 코오롱 하늘채 아파트 1단지,84.778,"39,000",5,2014,출판로 25
경상남도 양산시 물금읍 가촌리,이지더원2차,75.7475,"34,000",18,2017,물금로 75
강원특별자치도 태백시 황지동,중앙하이츠,70.48,"27,000",11,2011,대학길 80
전북특별자치도 전주시 덕진구 송천동1가,현대(107-17),39.57,"2,840",5,1989,오송1길 13-16
전북특별자치도 군산시 산북동,하나리움시티2차,59.9896,"12,550",16,2014,원산북2길 6
강원특별자치도 원주시 지정면 가곡리,원주기업도시라온프라이빗,59.7836,"20,000",5,2018,가곡로 132
전북특별자치도 순창군 순창읍 교성리,순창남양휴튼아파트,78.0321,"26,800",7,2023,교성로 55
전북특별자치도 익산시 동산동,동신,64.28,"6,000",5,1988,목천로 335
